期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
2017152,2017-12-26(二),"06,10,23,25,26,29",05,8,7027612,129,157179,1848,3000,85998,200,1538040,10,12152337,5,"吉林1注,浙江1注,福建1注,山东1注,重庆2注,四川1注,陕西1注,共8注。",270223240
2017151,2017-12-24(日),"02,05,07,09,11,27",16,6,8891264,171,170669,1414,3000,78120,200,1525695,10,9817849,5,"辽宁1注,江苏3注,安徽1注,福建1注,共6注。",265615770
2017150,2017-12-21(四),"06,14,19,20,21,23",08,9,6900101,82,260684,1721,3000,79117,200,1478684,10,13260907,5,"安徽1注,重庆1注,湖北1注,广东1注,四川1注,云南2注,新疆1注,深圳1注,共9注。",231409917
2017149,2017-12-19(二),"05,08,15,20,27,30",13,67,5031231,1126,6000,8715,3000,293452,200,3505333,10,12120676,5,"河北3注,内蒙古2注,辽宁4注,吉林1注,黑龙江3注,上海7注,江苏6注,浙江3注,安徽2注,福建2注,江西1注,山东6注,重庆3注,河南4注,湖北1注,湖南3注,广东2注,广西3注,四川4注,贵州1注,陕西1注,甘肃1注,新疆1注,深圳3注,共67注。其中复式投注为：河北2注,内蒙古1注,辽宁4注,吉林1注,黑龙江3注,上海5注,江苏2注,浙江2注,安徽2注,福建2注,江西1注,山东4注,重庆3注,河南3注,湖北1注,湖南2注,广东1注,广西1注,四川3注,贵州1注,甘肃1注,新疆1注,深圳1注。",229382406
2017148,2017-12-17(日),"04,07,11,14,29,32",12,18,6272562,274,104498,2210,3000,102446,200,1843078,10,9046257,5,"北京1注,河北1注,内蒙古2注,辽宁1注,江苏2注,浙江4注,山东2注,四川2注,贵州1注,云南2注,共18注。其中复式投注为：北京1注,河北1注,浙江2注,山东2注,四川2注,云南2注。",558628074
2017147,2017-12-14(四),"03,07,20,21,25,31",14,3,10000000,131,255096,1080,3000,61204,200,1261151,10,6554657,5,"山西1注,上海1注,安徽1注,共3注。其中复式投注为：山西1注。",585636222
2017146,2017-12-12(二),"01,19,25,26,27,33",10,21,5802209,252,83563,2353,3000,108606,200,1794897,10,13924922,5,"北京1注,河北5注,吉林1注,江苏1注,山东1注,重庆1注,湖北1注,湖南6注,广东1注,四川2注,贵州1注,共21注。其中复式投注为：吉林1注,山东1注,重庆1注,湖北1注,湖南6注,广东1注,四川1注,贵州1注。",515383281
2017145,2017-12-10(日),"02,06,12,17,25,28",12,31,5380151,458,32163,5310,3000,186898,200,2600830,10,14952213,5,"河北1注,山西1注,内蒙古1注,辽宁1注,吉林1注,黑龙江1注,上海1注,江苏1注,浙江6注,安徽1注,山东2注,重庆2注,湖北1注,湖南3注,四川2注,云南2注,陕西2注,甘肃1注,深圳1注,共31注。其中复式投注为：河北1注,内蒙古1注,辽宁1注,吉林1注,黑龙江1注,江苏1注,浙江3注,安徽1注,重庆2注,湖北1注,湖南2注,四川2注,云南1注,陕西1注,甘肃1注,深圳1注。",574055706
2017144,2017-12-07(四),"03,14,16,20,31,32",09,8,6316343,54,243767,1869,3000,87158,200,1583161,10,20370880,5,"北京1注,天津2注,浙江1注,江西1注,四川1注,云南2注,共8注。其中复式投注为：北京1注,天津2注,四川1注。",696647832
2017143,2017-12-05(二),"04,06,09,14,20,29",14,13,6687672,164,167223,1606,3000,78943,200,1488152,10,8591476,5,"河北1注,辽宁1注,上海6注,山东1注,广东1注,青海1注,新疆2注,共13注。其中复式投注为：上海5注,广东1注,青海1注,新疆2注。",707688280
2017142,2017-12-03(日),"08,13,14,18,23,33",06,6,7643652,149,133069,2355,3000,103919,200,1763662,10,15977097,5,"山西1注,福建1注,江西1注,重庆1注,河南1注,新疆1注,共6注。其中复式投注为：江西1注,重庆1注,新疆1注。",712354014
2017141,2017-11-30(四),"01,06,07,11,13,15",05,4,7854635,78,182989,1650,3000,86982,200,1553018,10,17665517,5,"江苏1注,山东1注,广东1注,陕西1注,共4注。其中复式投注为：江苏1注。",698733752
2017140,2017-11-28(二),"21,22,25,28,29,30",08,16,6035870,83,249607,1431,3000,71547,200,1451958,10,13696628,5,"北京10注,内蒙古1注,江苏1注,浙江1注,安徽1注,山东1注,云南1注,共16注。其中复式投注为：江苏1注,浙江1注,山东1注,云南1注。",687332768
2017139,2017-11-26(日),"02,14,20,24,28,32",16,6,9828398,92,393619,813,3000,46477,200,992607,10,6852481,5,"山西1注,河南2注,广东1注,四川1注,陕西1注,共6注。其中复式投注为：陕西1注。",721754472
2017138,2017-11-23(四),"01,17,24,28,32,33",02,6,9039634,79,383509,915,3000,46678,200,991147,10,8401669,5,"江苏1注,浙江1注,重庆1注,广东1注,四川2注,共6注。其中复式投注为：重庆1注,广东1注,四川2注。",672085896
2017137,2017-11-21(二),"05,10,20,23,26,31",03,7,7917073,146,174824,1569,3000,75681,200,1356509,10,9764880,5,"天津1注,内蒙古1注,安徽2注,广西1注,四川1注,云南1注,共7注。其中复式投注为：安徽1注,广西1注,云南1注。",635431923
2017136,2017-11-19(日),"03,07,10,18,21,24",12,19,5952821,216,104766,2130,3000,101551,200,1711907,10,12485113,5,"河北2注,江苏3注,浙江2注,安徽4注,广西1注,四川1注,陕西1注,深圳5注,共19注。其中复式投注为：浙江1注,广西1注,四川1注。",614278265
2017135,2017-11-16(四),"01,06,07,14,18,26",16,8,7923669,147,198889,1058,3000,59885,200,1210785,10,8283735,5,"山西1注,山东3注,广东1注,广西1注,贵州1注,云南1注,共8注。其中复式投注为：山西1注,山东3注,广西1注,云南1注。",659493336
2017134,2017-11-14(二),"04,05,11,14,28,32",04,13,6040990,99,170869,1824,3000,87046,200,1531322,10,14674835,5,"北京1注,山西1注,内蒙古1注,吉林2注,江苏1注,浙江1注,山东1注,重庆1注,四川3注,陕西1注,共13注。其中复式投注为：内蒙古1注,吉林1注,山东1注,重庆1注。",635172616
2017133,2017-11-12(日),"06,15,17,18,23,30",11,7,8327342,223,130557,1372,3000,78811,200,1582688,10,8791861,5,"河北2注,辽宁1注,上海1注,湖北1注,广东1注,新疆1注,共7注。其中复式投注为：河北1注,上海1注。",662957197
2017132,2017-11-09(四),"02,03,05,09,13,28",11,6,8820665,139,206151,1253,3000,73344,200,1500060,10,7419907,5,"北京1注,浙江2注,广东1注,广西1注,云南1注,共6注。其中复式投注为：浙江1注。",633905850
2017131,2017-11-07(二),"01,07,10,11,26,27",11,25,5513378,131,122466,2893,3000,107801,200,1675295,10,13810389,5,"河北2注,辽宁2注,吉林1注,上海1注,浙江1注,安徽6注,福建5注,山东1注,重庆1注,河南4注,湖南1注,共25注。其中复式投注为：河北2注,辽宁1注,吉林1注,浙江1注,安徽1注,河南1注。",600864875
2017130,2017-11-05(日),"05,13,14,23,25,31",02,5,10000000,211,161007,937,3000,58635,200,1171966,10,6905902,5,"浙江1注,安徽1注,四川3注,共5注。其中复式投注为：浙江1注,四川1注。",690570120
2017129,2017-11-02(四),"05,06,09,14,21,33",02,3,10000000,116,229558,783,3000,47080,200,999596,10,7111144,5,"山西1注,辽宁1注,广西1注,共3注。",638652615
2017128,2017-10-31(二),"02,06,13,22,29,31",08,13,5186374,111,27284,2990,3000,113700,200,1682133,10,19610341,5,"天津2注,辽宁1注,山东4注,重庆1注,湖北1注,湖南1注,广东1注,云南1注,甘肃1注,共13注。",588766113
2017127,2017-10-29(日),"14,15,21,24,27,32",12,4,9376343,63,347328,1292,3000,63568,200,1165868,10,11280329,5,"上海1注,江苏1注,广东1注,甘肃1注,共4注。",647103220
2017126,2017-10-26(四),"01,16,17,21,27,30",16,8,7757297,63,437666,797,3000,44573,200,968685,10,5965537,5,"浙江1注,福建6注,云南1注,共8注。",618963440
2017125,2017-10-24(二),"01,14,23,25,29,30",03,6,7793201,133,157511,1550,3000,78944,200,1430191,10,8125119,5,"上海1注,安徽1注,山东2注,广东1注,新疆1注,共6注。",598302894
2017124,2017-10-22(日),"02,06,11,26,28,29",03,8,6981077,126,157228,1980,3000,81855,200,1456753,10,11331508,5,"河北1注,上海1注,安徽1注,福建1注,河南1注,湖南1注,广西1注,青海1注,共8注。",582215080
2017123,2017-10-19(四),"04,05,06,11,21,31",10,16,5768364,237,64840,1554,3000,77032,200,1341534,10,13101261,5,"山西1注,内蒙古1注,上海1注,江苏2注,福建2注,重庆1注,河南2注,湖北1注,湖南2注,四川1注,贵州2注,共16注。",578631376
2017122,2017-10-17(二),"11,20,21,22,24,27",15,4,9322578,52,415632,1044,3000,54934,200,1042097,10,9476920,5,"江苏2注,河南2注,共4注。",624823324
2017121,2017-10-15(日),"11,18,19,22,24,32",07,5,7294152,136,105429,2039,3000,89969,200,1540417,10,14389253,5,"浙江2注,福建1注,湖北1注,云南1注,共5注。",597274960
2017120,2017-10-12(四),"08,10,15,19,23,28",16,5,9211061,192,137078,873,3000,58724,200,1248592,10,4861691,5,"河北1注,辽宁1注,安徽1注,四川1注,云南1注,共5注。",590730365
2017119,2017-10-10(二),"09,16,21,25,26,31",14,11,6673237,127,181157,1257,3000,57477,200,1060985,10,6925933,5,"河北1注,江苏2注,浙江1注,安徽1注,重庆2注,河南1注,海南1注,四川1注,陕西1注,共11注。",557828271
2017118,2017-10-08(日),"08,09,15,22,30,33",16,12,6730422,123,211027,1054,3000,67859,200,1290082,10,6619217,5,"浙江1注,福建1注,重庆1注,河南1注,湖南8注,共12注。",562212840
2017117,2017-10-05(四),"01,02,08,11,14,21",09,3,8633236,53,257068,1146,3000,57568,200,1078500,10,11109106,5,"山东1注,广东1注,陕西1注,共3注。",565108899
2017116,2017-10-03(二),"02,14,20,22,30,32",02,9,6537998,85,203558,1372,3000,60997,200,1028626,10,7304167,5,"辽宁1注,江苏1注,河南1注,湖北1注,广东1注,海南1注,四川1注,云南2注,共9注。",550134702
2017115,2017-10-01(日),"04,10,11,25,30,31",01,6,8233631,128,189470,1141,3000,60892,200,1176240,10,6686161,5,"广东3注,广西2注,云南1注,共6注。",557069238
2017114,2017-09-28(四),"06,12,13,15,18,26",13,4,9187872,89,235273,1225,3000,65842,200,1241716,10,8908714,5,"上海1注,山东1注,湖北1注,深圳1注,共4注。",533714324
2017113,2017-09-26(二),"04,06,16,27,29,33",05,4,8403060,75,226870,1443,3000,67849,200,1213695,10,11370515,5,"河北1注,辽宁1注,山东2注,共4注。",507647724
2017112,2017-09-24(日),"03,10,14,16,22,23",11,2,10000000,76,292461,1344,3000,64339,200,1217948,10,10335549,5,"广东1注,陕西1注,共2注。",490214060
2017111,2017-09-21(四),"05,10,17,19,29,32",12,16,5921674,99,186196,1503,3000,76650,200,1364133,10,9718883,5,"黑龙江1注,江苏1注,浙江4注,福建1注,重庆2注,湖北2注,广东5注,共16注。",443532928
2017110,2017-09-19(二),"01,03,12,15,19,23",14,3,10000000,68,377100,747,3000,43574,200,973444,10,6407418,5,"河北1注,安徽1注,湖北1注,共3注。",482979264
2017109,2017-09-17(日),"08,14,16,18,21,23",16,4,10000000,96,296384,795,3000,47610,200,1019017,10,7049837,5,"黑龙江1注,贵州1注,云南2注,共4注。",436050760
2017108,2017-09-14(四),"07,12,14,15,17,20",01,6,8141359,113,208497,957,3000,54375,200,1048588,10,7741340,5,"山西1注,内蒙古1注,江西1注,山东1注,重庆2注,共6注。",390692040
2017107,2017-09-12(二),"08,09,15,17,30,32",06,19,5814695,202,95787,1398,3000,68532,200,1293285,10,9649004,5,"北京1注,上海15注,江西1注,广东1注,宁夏1注,共19注。",368859616
2017106,2017-09-10(日),"12,15,20,25,27,31",02,4,10000000,82,306613,802,3000,51738,200,1081678,10,9136411,5,"河北1注,吉林1注,福建1注,湖南1注,共4注。",421291764
2017105,2017-09-07(四),"03,06,07,12,25,26",07,29,5091000,254,12987,5050,3000,164897,200,2109753,10,14309512,5,"河北1注,山西2注,辽宁2注,上海2注,江苏1注,浙江4注,山东2注,河南2注,湖南4注,广东2注,广西6注,宁夏1注,共29注。",385864894
2017104,2017-09-05(二),"01,14,15,20,23,30",14,2,10000000,93,265208,776,3000,44513,200,878597,10,6670926,5,"黑龙江1注,贵州1注,共2注。",523607612
2017103,2017-09-03(日),"01,21,23,25,31,33",01,9,7401779,64,422187,856,3000,43195,200,806982,10,8581566,5,"山西1注,山东1注,重庆2注,湖南1注,广东3注,贵州1注,共9注。",469614348
2017102,2017-08-31(四),"04,08,10,14,18,20",11,14,5682901,150,79671,1682,3000,79971,200,1378116,10,14439511,5,"北京3注,河北1注,内蒙古1注,辽宁1注,黑龙江1注,广东2注,四川1注,云南2注,新疆1注,深圳1注,共14注。",455170324
2017101,2017-08-29(二),"01,04,11,28,31,32",16,2,10000000,51,548154,606,3000,35152,200,780019,10,5001121,5,"广东1注,甘肃1注,共2注。",498878630
2017100,2017-08-27(日),"04,07,08,18,23,24",02,16,6241187,117,212168,1157,3000,64891,200,1279253,10,7964531,5,"北京10注,江苏2注,浙江1注,重庆1注,湖南1注,陕西1注,共16注。",435010976
2017099,2017-08-24(四),"02,05,06,16,28,29",04,27,5455945,142,108367,2109,3000,88811,200,1502773,10,10301500,5,"天津15注,河北1注,内蒙古1注,上海1注,浙江2注,安徽2注,福建1注,广东2注,广西1注,四川1注,共27注。",460398735
2017098,2017-08-22(二),"04,19,22,27,30,33",01,14,5401390,93,75530,2157,3000,96656,200,1577135,10,16838772,5,"辽宁1注,上海1注,江苏1注,浙江1注,安徽1注,江西4注,山东1注,湖南1注,广东1注,广西1注,云南1注,共14注。",561544774
2017097,2017-08-20(日),"05,10,18,19,30,31",03,10,6980859,183,135304,1359,3000,69276,200,1291364,10,8215808,5,"河北1注,上海1注,浙江1注,江西3注,湖北1注,广东1注,广西1注,新疆1注,共10注。",616091250
2017096,2017-08-17(四),"02,06,11,12,19,29",06,14,6270042,165,134701,1755,3000,74735,200,1247731,10,7332922,5,"河北1注,山西1注,吉林1注,黑龙江1注,江西1注,山东2注,重庆2注,湖北1注,四川2注,陕西1注,新疆1注,共14注。",611617622
2017095,2017-08-15(二),"09,10,12,19,22,29",16,14,6159602,332,61123,1789,3000,92157,200,1542172,10,7007522,5,"吉林1注,江苏2注,浙江3注,贵州7注,云南1注,共14注。",632720984
2017094,2017-08-13(日),"08,11,13,19,28,31",06,9,6630843,128,143335,1876,3000,86932,200,1495198,10,11214738,5,"吉林1注,安徽3注,河南1注,湖南1注,广东1注,四川1注,云南1注,共9注。",658076283
2017093,2017-08-10(四),"07,08,09,15,22,27",12,39,5290308,238,59464,2259,3000,103680,200,1691934,10,9999861,5,"江苏1注,浙江2注,安徽1注,山东4注,河南1注,广东26注,四川1注,青海1注,宁夏1注,深圳1注,共39注。",662712921
2017092,2017-08-08(二),"10,18,19,29,32,33",09,4,9605819,131,175794,909,3000,47240,200,897113,10,7617376,5,"浙江1注,河南3注,共4注。",826577324
2017091,2017-08-06(日),"05,07,10,23,28,29",03,4,8923729,141,139139,1604,3000,75636,200,1342235,10,10672303,5,"山东2注,云南1注,新疆1注,共4注。",795913308
2017090,2017-08-03(四),"01,07,10,16,22,33",09,4,8842613,84,228726,1158,3000,57206,200,1091702,10,10056187,5,"天津1注,山东1注,云南2注,共4注。",772752284
2017089,2017-08-01(二),"11,12,13,16,23,25",12,2,10000000,69,328347,1026,3000,49435,200,1003431,10,8129858,5,"辽宁1注,河南1注,共2注。",750483542
2017088,2017-07-30(日),"07,09,18,22,23,29",06,10,6725767,406,53133,1917,3000,95828,200,1708166,10,8287929,5,"黑龙江1注,上海1注,江苏1注,安徽2注,江西2注,山东1注,广东2注,共10注。",702515540
2017087,2017-07-27(四),"03,06,13,14,19,28",06,13,5785674,105,121592,2100,3000,91345,200,1428854,10,12991642,5,"天津1注,江苏2注,安徽1注,山东1注,河南2注,广东2注,广西1注,贵州1注,深圳2注,共13注。",705056937
2017086,2017-07-25(二),"03,05,06,13,20,22",07,5,7211165,73,189312,1592,3000,71827,200,1279364,10,13255749,5,"山东1注,广西3注,云南1注,共5注。",741969095
2017085,2017-07-23(日),"01,05,06,16,25,30",09,7,6315240,148,77759,2046,3000,91556,200,1520586,10,16248640,5,"浙江1注,安徽1注,江西1注,重庆1注,广东2注,广西1注,共7注。",736565578
2017084,2017-07-20(四),"01,05,11,20,22,24",02,9,7021235,98,232029,1375,3000,64443,200,1209543,10,6832651,5,"内蒙古1注,辽宁1注,安徽1注,山东1注,河南1注,广东1注,广西1注,陕西2注,共9注。",746247204
2017083,2017-07-18(二),"03,08,14,20,24,26",12,13,6005980,161,101535,1885,3000,83588,200,1366711,10,9674189,5,"河北1注,江苏2注,江西1注,湖北1注,湖南1注,广东1注,四川1注,贵州1注,云南2注,新疆2注,共13注。",741221637
2017082,2017-07-16(日),"14,18,21,25,28,29",10,9,6764976,120,165466,1265,3000,68134,200,1287310,10,11408311,5,"山西3注,辽宁1注,湖南1注,广西1注,四川3注,共9注。",770257854
2017081,2017-07-13(四),"03,05,14,25,26,30",05,4,7764217,134,103142,2050,3000,82194,200,1315821,10,12288324,5,"河南3注,宁夏1注,共4注。",771574680
2017080,2017-07-11(二),"01,12,16,20,22,24",08,10,6418690,103,172171,1272,3000,64285,200,1152662,10,10466289,5,"内蒙古1注,辽宁2注,浙江1注,安徽1注,河南2注,广东3注,共10注。",761168290
2017079,2017-07-09(日),"03,07,14,23,25,27",08,5,7420610,107,141390,2040,3000,92475,200,1572509,10,13008667,5,"黑龙江1注,浙江1注,福建1注,山东1注,河南1注,共5注。",772154315
2017078,2017-07-06(四),"05,07,18,19,22,24",16,7,7387529,160,130568,1443,3000,76921,200,1441788,10,6711520,5,"上海1注,浙江1注,山东3注,重庆1注,广东1注,共7注。",763870919
2017077,2017-07-04(二),"01,02,04,15,17,22",14,4,9715359,93,253513,820,3000,47698,200,964676,10,7204322,5,"内蒙古1注,河南1注,湖北1注,贵州1注,共4注。",752910976
2017076,2017-07-02(日),"01,04,08,09,14,15",13,7,7321488,115,176634,1550,3000,77977,200,1455485,10,10735920,5,"山西1注,辽宁2注,安徽1注,重庆1注,广东1注,四川1注,共7注。",721042021
2017075,2017-06-29(四),"01,03,06,19,21,29",07,7,6363935,90,132604,1808,3000,84968,200,1397845,10,14591274,5,"河北1注,上海1注,浙江2注,山东1注,广东1注,四川1注,共7注。",711353370
2017074,2017-06-27(二),"02,06,16,23,30,31",02,16,6194147,548,43582,1682,3000,77717,200,1147687,10,5072832,5,"北京1注,辽宁1注,上海3注,江苏1注,安徽1注,福建1注,江西1注,山东2注,广东1注,广西1注,海南1注,陕西1注,深圳1注,共16注。",720097616
2017073,2017-06-25(日),"03,06,16,23,26,30",14,9,7099806,173,136548,1358,3000,64112,200,1164232,10,9426427,5,"上海3注,安徽1注,重庆1注,河南1注,广西1注,四川1注,深圳1注,共9注。",747555120
2017072,2017-06-22(四),"06,11,14,23,26,30",02,11,6667226,94,243876,1005,3000,52874,200,995249,10,8429197,5,"北京2注,辽宁1注,浙江1注,福建3注,山东3注,深圳1注,共11注。",740584900
2017071,2017-06-20(二),"02,03,06,14,31,32",03,4,10000000,51,494080,634,3000,39115,200,842702,10,7815095,5,"天津2注,安徽1注,广东1注,共4注。",745151312
2017070,2017-06-18(日),"01,06,14,22,25,26",12,4,9143511,92,225190,1226,3000,64694,200,1224137,10,12695165,5,"黑龙江1注,上海1注,浙江1注,广西1注,共4注。",709557056
2017069,2017-06-15(四),"02,11,12,23,29,31",05,3,10000000,98,198460,1535,3000,72026,200,1275536,10,10052476,5,"江苏1注,江西1注,四川1注,共3注。",683978436
2017068,2017-06-13(二),"02,06,10,22,30,31",15,7,8099564,102,265894,662,3000,44158,200,962751,10,5663437,5,"河北1注,江苏1注,浙江2注,湖北3注,共7注。",655631053
2017067,2017-06-11(日),"01,03,04,10,18,29",04,10,7036216,131,194295,1231,3000,63366,200,1260815,10,8757474,5,"河北4注,上海1注,江苏1注,河南1注,湖南1注,云南1注,深圳1注,共10注。",630964440
2017066,2017-06-08(四),"01,04,06,17,19,26",03,8,7075823,103,201536,1364,3000,74828,200,1364595,10,9175247,5,"辽宁2注,浙江1注,湖南1注,广东1注,广西1注,云南1注,陕西1注,共8注。",624968496
2017065,2017-06-06(二),"02,05,08,10,12,21",07,14,5907122,181,87705,1985,3000,88342,200,1457827,10,11098363,5,"天津1注,辽宁1注,黑龙江1注,江苏2注,安徽2注,江西1注,山东2注,湖北1注,广东1注,云南1注,陕西1注,共14注。",619300374
2017064,2017-06-04(日),"02,10,16,22,24,28",15,5,9001480,158,158286,1194,3000,63332,200,1220261,10,8764605,5,"河北1注,重庆2注,广东1注,四川1注,共5注。",654376180
2017063,2017-06-01(四),"12,16,20,22,25,31",04,4,10000000,246,102608,715,3000,38031,200,818953,10,6360637,5,"河北1注,广西2注,四川1注,共4注。",624355820
2017062,2017-05-30(二),"01,07,22,24,26,31",10,2,10000000,50,413968,688,3000,37912,200,779016,10,8643212,5,"辽宁1注,江西1注,共2注。",588631018
2017061,2017-05-28(日),"06,07,12,20,26,27",11,22,5719289,236,83815,1818,3000,97177,200,1749641,10,7831806,5,"北京2注,辽宁6注,吉林1注,江苏2注,浙江2注,福建1注,山东1注,湖北1注,广东2注,广西2注,深圳2注,共22注。",546535704
2017060,2017-05-25(四),"05,10,13,24,26,31",04,4,9226054,113,186993,1178,3000,64781,200,1188625,10,8834776,5,"北京1注,浙江1注,湖南1注,云南1注,共4注。",613018696
2017059,2017-05-23(二),"04,08,09,15,19,25",09,26,5191242,222,27997,3608,3000,132859,200,1854184,10,13842428,5,"北京1注,河北1注,辽宁2注,黑龙江1注,上海3注,江苏1注,安徽1注,福建2注,山东5注,湖北2注,广东3注,四川1注,新疆1注,深圳2注,共26注。",586532102
2017058,2017-05-21(日),"01,09,13,22,28,32",11,8,7035961,111,183419,1428,3000,67171,200,1172549,10,11025443,5,"山西1注,浙江1注,安徽1注,湖北1注,湖南1注,四川1注,陕西1注,深圳1注,共8注。",702858272
2017057,2017-05-18(四),"18,20,22,23,30,31",16,9,6821373,71,288597,881,3000,53312,200,1052315,10,9682267,5,"河北1注,上海5注,安徽1注,广东2注,共9注。",698067117
2017056,2017-05-16(二),"13,14,18,19,21,28",06,8,7367832,184,128686,900,3000,49707,200,973032,10,7690564,5,"山西1注,福建3注,湖北1注,广西1注,四川1注,云南1注,共8注。",697988120
2017055,2017-05-14(日),"07,12,13,20,24,31",05,20,5718169,109,164717,1901,3000,73900,200,1276271,10,12523162,5,"北京1注,天津1注,河北1注,辽宁1注,江苏1注,浙江1注,重庆1注,广东12注,深圳1注,共20注。",685895820
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
期号,开奖日期,红球,蓝球,一等奖中奖注数,一等奖中奖金额,二等奖中奖注数,二等奖中奖金额,三等奖中奖注数,三等奖中奖金额,四等奖中奖注数,四等奖中奖金额,五等奖中奖注数,五等奖中奖金额,六等奖中奖注数,六等奖中奖金额,一等奖中奖地区,奖池金额
2022043,2022-04-19(二),"02,17,20,23,25,27",08,9,6718875,54,358098,1312,3000,66237,200,1274684,10,12865148,5,"浙江1注,江西1注,山东2注,广东2注,贵州1注,云南2注,共9注。",1883060805
2022042,2022-04-17(日),"05,10,11,21,22,30",13,10,7059021,175,147072,1624,3000,77105,200,1574277,10,9121844,5,"北京1注,山西1注,江苏2注,浙江1注,四川3注,陕西2注,共10注。",1885518647
2022041,2022-04-14(四),"05,07,21,22,24,29",14,4,10000000,57,504454,799,3000,47352,200,1061711,10,6631431,5,"辽宁1注,黑龙江1注,重庆2注,共4注。",1878895566
